food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
746,cheshire cheese,110,8.7,1.4,0,6.6,0,29.1,0.2
747,monterey cheese,421,34.2,0.8,0.6,27.7,0,100.6,0.7
748,edam cheese,107,8.3,0.4,0,7.5,0,26.7,0.3
749,fontina cheese,420,33.6,1.7,1.7,27.6,0,125.3,0.9
750,monterey cheese low fat,350,24.4,0.8,0.6,31.9,0,73.5,0.6
751,colby cheese,445,36.3,2.9,0.6,26.8,0,107.4,0.7
752,american cheese,93,7.9,0.9,0.6,4.5,0,25,0.4
753,blue cheese,106,8.6,0.7,0.2,6.4,0,22.5,0.3
754,egg noodles cooked,110,1.7,20.1,0.3,3.6,1,23.2,0.027
755,japanese somen noodles cooked,231,0.3,48.5,0,7,0,0,0.3
756,whole wheat macaroni dry,365,1.5,78.8,0,15.4,8.7,0,0.028
757,pasta marinara and ground beef sauce,41,1.6,4.1,1,2.5,0.5,0.2,0
758,macaroni raw,390,1.6,78.4,2.8,13.7,3.4,0,0.097
759,spaghetti dry,105,0.4,21.1,0.8,3.7,0.9,0,0.09
760,fusilli cucina,100,0.4,3.4,0.041,0,0,0,0
761,japanese somen noodles dry,101,0.2,21,0,3.2,1.2,0,0.5
762,pasta cooked,301,2.4,57.3,0,11.8,0,75.9,0.073
763,macaroni cooked,221,1.3,43.2,0.8,8.1,2.5,0,0.071
764,spinach egg noodles dry,145,1.7,26.7,0,5.6,2.6,36.1,0.096
765,japanese soba noodles cooked,113,0.1,24.4,0,5.8,0,0,0.1
766,rice noodles cooked,190,0.4,42.3,0.052,3.2,1.8,0,0.075
767,whole wheat macaroni cooked,174,0.8,37.2,1.1,7.5,3.9,0,0.057
768,spaghetti cooked,363,2.1,71,1.3,13.3,4.1,0,0.089
769,whole wheat spaghetti cooked,174,0.8,37.2,1.1,7.5,6.3,0,0.091
770,waffle,218,10.6,24.7,0,5.9,0,51.8,0.4
771,baked taco shell,61,2.7,8.3,0.2,0.8,0.9,0,0.004
772,puff pastry,1367,94.3,112,1.8,18.1,3.7,0,0.6
773,blueberry muffin,214,9.2,30.2,17.9,2.6,0.6,17.1,0.2
774,bread crumbs,427,5.7,77.7,6.7,14.4,4.9,0,0.8
775,warm cinnamon roll mcdonalds,113,5.1,15,7,2,0.5,16.4,0.1
776,corn muffin,201,5.5,33.7,11.7,3.9,2.2,17.2,0.3
777,tortilla,467,1.9,98.4,5.4,14.3,4.7,0,0.9
778,croutons seasoned,186,7.3,25.4,1.8,4.3,2,2.8,0.4
779,buttermilk waffle,102,3.1,16,1.5,2.4,0.9,4.3,0.2
780,flour tortilla,146,3.7,24.1,1.3,3.9,1.2,0,0.4
781,glazed donut,55,3,6.2,3,0.8,0.3,3.9,0.082
